taakveld,2020,2021,2022,2023,2024,2025
0.1,-9500823,,-3186294,-2397568,-2580157,
0.2,-2379079,,-1061018,,-1597849,
0.3,-857308,,-717945,,-537758,
0.4,-1007660,,,,-17929390,
0.5,-15706,,-16090,,,
0.61,-283842,,-316969,,,
0.62,-60483,,-63620,,,
0.64,0,,-94022,,,
0.7,-101461,,0,,,
0.8,-278990,,-91697,0,0,
1.1,0,,-4085443,-5074636,-1537133,-10164
1.2,0,,,-1553291,-2797393,-7691
2.1,-3848536,,-4437956,-5155835,-4968631,-2689
2.2,-402231,,-329118,-539307,-473855,0
2.3,0,,-9,-8,-10,
2.5,0,,0,0,0,0
3.1,-382723,,-403770,0,-556520,0
3.3,-95326,,-179994,-173513,-4529546,0
3.4,-164983,,-106119,-138161,-2204192,-4145
4.1,-55036,,,,-626877,-48488
4.2,-1353156,,-94299,-421523,-1381508,
4.3,-1507956,,0,,-1866682,
5.1,-588050,,,,-652232,
5.2,-1251727,,,,-2170226,
5.3,-408455,,,,,-4451
5.4,-12051,,,,0,
5.6,-303891,,,,-894458,-27483
5.7,-705048,,-470554,-4987881,-4757107,
6.1,-1639235,,,,-1122735,-3739
6.21,,,,,,-3435
6.22,,,,,,-2108
6.23,,,,,,-46780
6.3,-641366,,,,-4702602,0
6.4,-11309336,,,,-2266041,-17927
6.5,-1044664,,,,-9538023,0
6.60,,,,,0,0
6.711,,,,,0,-27
6.712,,,,,0,-2689
6.713,,,,,,
6.714,,,,,,0
6.751,,,,,,-1111
6.752,,,,,,
6.753,,,,,,0
6.761,,,,,,0
6.762,,,,,,
6.763,,,,,,
6.791,,,,,,-9
6.792,,,,,,
6.821,,,,,,
6.822,,,,,,
6.91,,,,,,
6.92,,,,,,
7.1,-4737699,,,,-269361,0
7.2,-1837989,,,-1941344,-143265,0
7.3,,,,-4363709,-125347,
7.4,,,,-1598391,-1743806,
7.5,,,,-1510442,-484972,
8.1,-908618,,-1207258,-125142,-160839,
8.2,-165937,,-8962,-1976908,-1947900,-7378
8.3,-8660551,,-1970074,-36226,-36576,
